text,intent,maturity_score,entities,category,metadata
require ﬂexible organization forms that allow for fast responses to
constant digital change.",others,1.0,"[('Section 4.1', 'LAW')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Based on the above, we deﬁne
digitization to describe the action to convert analog information into
digital information.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Measuring digitization: A growth and welfare
multiplier.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
Digitalisation of Finland’s transport sector.,others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Based on this, which growth strategies should ﬁrms choose, and how
can incumbent ﬁrms achieve similar growth ﬁgures as digital entrants?",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Hence,
to what extent are digital industry leaders more capable of ﬁnding,
selecting and executing digital projects, or does their success depend on
other factors?",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"The impact of technological change
on employment: The case of press digitisation.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Although the end goal of new business models — as generated by di-
gital transformation — will also be to generate revenues, proﬁts and
improve investor value (Teece, 2010), here it is also particularly useful
to track intermediate results via process-related metrics to assess how
well the new digital business model is creating value (Libert et al.,
2016).",Organizational Change,0.58,"[('2010', 'DATE'), ('Libert et al.', 'PERSON'), ('2016', 'DATE')]",Business Models,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Shaping agility through digital
options: Reconceptualizing the role of information technology in contemporary ﬁrms.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"While certain adjustments and updates of metrics usually happen
when a ﬁrm goes through digitization and digitalization phases (e.g.,
measuring website clicks, video views and mobile downloads, after the
introduction of online and mobile channels), overall outcome-related
metrics like ROI, proﬁtability and revenue growth, typically remain
relevant for ﬁrms that engage in digitization and digitalization.",others,4.0,[],Technology and Infrastructure,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"To better understand how digital ﬁrms can grow using a platform
business model, we rely on the Ansoﬀmatrix, which identiﬁes four
growth strategies: market penetration, product development, market
development and diversiﬁcation.",others,1.0,"[('Ansoﬀmatrix', 'ORG'), ('four', 'CARDINAL')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Treating
digital transformation — as existent research has done — in functional
silos would potentially lead to ignoring relevant aspects or not opti-
mizing cross-fertilization opportunities.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Digital science and knowledge boundaries in complex
innovation.",others,1.0,"[('Digital', 'ORG')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"• How can transforming ﬁrms beneﬁt from new organizational structures and
management styles?",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"The use of standard, more hierarchical
organization schemes, with multiple management layers and a strong
top-down approach, may no longer be eﬀective in fast-changing digital
environments, as the bureaucracy involved reduces response speed and
innovativeness.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"The reason for the
year 2000 as cutoﬀline is that in this year the dotcom bubble collapsed and that ﬁrms such as Google, Amazon or eBay were among the survivors
which today have huge inﬂuence on what we understand about digital transformation.",Organizational Change,0.16,"[('the\nyear 2000', 'DATE'), ('this year', 'DATE'), ('Google', 'ORG'), ('Amazon', 'ORG'), ('eBay', 'ORG'), ('today', 'DATE')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"The ﬁrst strategy, (4) product development, introduced by Ansoﬀ,
can also be followed by digital ﬁrms.",others,1.0,"[('4', 'CARDINAL'), ('Ansoﬀ', 'PERSON')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"The challenges in digitalising business relationships: The
construction of an IT infrastructure for a textile-related business network.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Typically, digitization mainly
digitalizes internal and external documentation processes, but does not
change value creation activities.",others,4.0,[],Technology and Infrastructure,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Information Systems Research, 24(4), 976–997.",others,1.0,"[('Information Systems Research', 'ORG'), ('24(4', 'CARDINAL'), ('976–997', 'CARDINAL')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"We also do not claim that our list of resources is exhaustive as digital
ﬁrms may require additional digital and nondigital resources to successfully
transform their business.",others,4.0,[],Technology and Infrastructure,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Digitisation of publishing: Exploration based on ex-
isting business models.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Using the lens of a digital platform, we ﬁnd new themes and growth
strategies that broaden the conceptualization of Ansoﬀ’s growth matrix.",others,1.0,"[('Ansoﬀ', 'PERSON')]",Business Models,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Digital resources
Resources represent a ﬁrm’s ownership and control of assets and
capabilities (Barney, 1991).",others,1.0,"[('Digital', 'ORG'), ('Barney, 1991', 'DATE')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"However, em-
pirical research on the organization structure within digital ﬁrms is
scarce.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Servitization,
digitization and supply chain interdependency.",others,4.0,[],Business Models,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Managing e-transformation in the public sector: An e-
government study of the inland revenue authority of Singapore (IRAS).",others,1.0,"[('Singapore', 'GPE'), ('IRAS', 'ORG')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Digital ﬁrms can often more ef-
ﬁciently develop and launch new products in a platform environment,
as platforms allow for stronger synergies among products.",others,1.0,"[('Digital', 'ORG'), ('platforms', 'TECHNOLOGY')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"• Which metrics are important for digital platforms given the increasing reliance on
networks and eco-systems?",others,1.0,"[('platforms', 'TECHNOLOGY')]",Business Models,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Capability reconﬁguration: An analysis of incumbent responses to
technological change.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Information Systems Research,
21(4), 724–735.",others,1.0,"[('Information Systems Research', 'ORG'), ('21(4', 'CARDINAL'), ('724–735', 'CARDINAL')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"The reason to choose a multi-
disciplinary approach rather than focusing on contributions within one research ﬁeld is because we believe that a broad phenomenon like digital
transformation with wide implications for ﬁrms and society cannot be fully understood by only studying it within, for instance, the IS ﬁeld
(Loebbecke & Picot, 2015).",others,1.0,"[('one', 'CARDINAL'), ('ﬁeld', 'PERSON'), ('Loebbecke & Picot', 'ORG'), ('2015', 'DATE')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"A typology of technological change: Technological para-
digm theory with validation and generalization from case studies.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Information Systems Research, 22(3), 469–490.",others,1.0,"[('Information Systems Research', 'ORG'), ('22(3', 'CARDINAL'), ('469–490', 'CARDINAL')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"This section explains the origins of the
fast-paced growth of digital platforms, and identiﬁes new digital
growth strategies based on the classic Ansoﬀmatrix (Ansoﬀ, 1957).",others,4.0,"[('platforms', 'TECHNOLOGY'), ('1957', 'DATE')]",Technology and Infrastructure,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"At
the company level, many traditional ﬁrms have been surpassed by in-
novative fast-growing digital entrants, and suﬀered as a result of this.",others,4.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"[Above] +
Digital agility,
Digital
networking
capability
Separate, agile units
[Above] +
Platform-based market
penetration, Co-creation
platform
Traditional and
Digital KPIs:
User experience, Unique
customers/users, active
customers/users
Cost savings & increased revenues:
More eﬃcient production via
business process re-engineering;
Enhanced customer experience.",others,3.0,"[('Digital', 'ORG'), ('Digital', 'ORG'), ('Digital', 'ORG'), ('Unique', 'PERSON')]",Customer Experience,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Information Systems Research, 21(4),
796–809.",others,1.0,"[('Information Systems Research', 'ORG'), ('21(4', 'CARDINAL'), ('796–809', 'CARDINAL')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Information Systems Research, 26(2),
398–417.",others,1.0,"[('Information Systems Research', 'ORG'), ('26(2', 'CARDINAL'), ('398–417', 'CARDINAL')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"By continuously sensing and seizing
market opportunities, digital agility fosters the recombination and de-
velopment of new products, services and business models that enhance
the
value
created
for
the
customer
(Karimi
&
Walter,
2015;
Sambamurthy et al., 2003; Teece, 2010).",Et Al,1.0,"[('Karimi\n&\nWalter', 'ORG'), ('2015', 'DATE'), ('Sambamurthy et al.', 'PERSON'), ('2003', 'DATE'), ('2010', 'DATE')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"A near ubiquitous characteristic of digital ﬁrms, and digital plat-
forms in particular, is their impressive growth ﬁgures.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Moreover, these new digital technologies may also aﬀect
the ﬁrm’s cost structure through replacing costlier humans during ser-
vice delivery with the help of robots or virtual agents or optimizing
logistic streams and reducing supply chain costs through the use of AI
and blockchain.",artificial intelligence,4.0,"[('AI', 'TECHNOLOGY')]",Technology and Infrastructure,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Platforms can leverage their digital
– and disruptive (Christensen, 1997) – technologies to achieve sig-
niﬁcant growth by attracting non-users, who have never consumed the
product or a traditional substitute before, into customers.",others,1.0,"[('Christensen', 'GPE'), ('1997', 'DATE')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"For example, Volvo Cars is hiring C-suite digital oﬃcers and
dedicates a major part of its R&D investment to digital initiatives to
speed up digital projects such as autonomous driving and concierge
services.",others,1.0,"[('Volvo Cars', 'ORG')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"In addition to these more traditional strategies, digital ﬁrms can also
execute (3) platform-based market penetration, introducing a platform
consisting of various existing products into a new market that are of-
fered by external parties.",others,1.0,"[('3', 'CARDINAL')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"The literature streams on innovation management
and software development have extensively investigated self-organizing
teams (e.g., Takeuchi & Nonaka, 1986), but there is a paucity of re-
search on how self-organizing teams enable digital transformation and
its eﬀect on performance.",Organizational Change,0.16,"[('Takeuchi & Nonaka', 'ORG'), ('1986', 'DATE')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"The Impact of Digitization on Record Companies, SSRN Working Paper, Available at
SSRN: https://ssrn.com/abstract=2011854 or http://dx.doi.org/10.2139/ssrn.",others,4.0,"[('The Impact of Digitization on Record Companies', 'ORG'), ('Working Paper', 'ORG'), ('http://dx.doi.org/10.2139/ssrn', 'PERSON')]",Technology and Infrastructure,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Organization Structure
Strategic management, innovation
• Which organizational structures enhance ﬁrms’ digital agility?",others,1.0,"[('• Which', 'ORG')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Marketing perspectives on digital business
models: A framework and overview of the special issue.",Organizational Change,0.14,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Embracing digital innovation in in-
cumbent ﬁrms: How Volvo cars managed competing concerns.",Transformation Digital Innovation,0.59,"[('Volvo', 'ORG')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Papers were excluded when the digital transformation was only
included in the keywords, abstract or introduction but not further explained in the text.",Organizational Change,4.0,[],Technology and Infrastructure,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"If ﬁrms cannot adapt to
these changes, they become less attractive to customers, and are likely
to be replaced by ﬁrms that do leverage such technologies.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"As incumbents tend to be slow when it comes
to detecting valuable technologies, recognizing the need to react fast,
and/or overcoming the often conﬂictive and competence-destroying
nature of digital technologies is critical (Christensen & Overdorf, 2000;
Christensen et al., 2016; Venkatraman, 2017).",Et Al,0.14,"[('Christensen & Overdorf', 'ORG'), ('2000', 'DATE'), ('Christensen', 'PERSON'), ('2016', 'DATE'), ('Venkatraman', 'GPE'), ('2017', 'DATE')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Digital agility concerns the ability to sense and seize
market
opportunities
provided
by
digital
technologies
(Lee,
Sambamurthy, Kim, & Wei, 2015; Lu & Ramamurthy, 2011; Tallon &
Pinsonneault, 2011).",others,1.0,"[('Digital', 'ORG'), ('Lee', 'PERSON'), ('Sambamurthy', 'PERSON'), ('Kim', 'PERSON'), ('2015', 'DATE'), ('Lu & Ramamurthy', 'ORG'), ('2011', 'DATE'), ('Tallon &\nPinsonneault', 'ORG'), ('2011', 'DATE')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"The use
of IT is transformative and leads to fundamental changes to existing
business processes, routines and capabilities, and allow healthcare
providers to enter new or exit current markets (Li et al., 2018).",Et Al,0.14,"[('Li et al.', 'PERSON'), ('2018', 'DATE')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Digitization is the encoding of analog information into a digital
format (i.e., into zeros and ones) such that computers can store process,
and transmit such information (Dougherty & Dunne, 2012; Loebbecke &
Picot, 2015; Tan & Pan, 2003; Yoo, Henfridsson, & Lyytinen, 2010).",others,1.0,"[('zeros', 'CARDINAL'), ('Dougherty & Dunne', 'ORG'), ('2012', 'DATE'), ('Loebbecke &\nPicot', 'ORG'), ('2015', 'DATE'), ('Tan & Pan', 'ORG'), ('2003', 'DATE'), ('Yoo', 'PERSON'), ('Henfridsson', 'ORG'), ('2010', 'DATE')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"For example,
big data (i.e., customer journey data) as a digital asset can be leveraged
by using a ﬁrm’s data analytical capabilities to personalize services and
oﬀers (e.g., Verhoef, Kooge, & Walk, 2016).",data_and_analytics,3.0,"[('Verhoef', 'GPE'), ('Kooge', 'GPE'), ('2016', 'DATE')]",Technology and Infrastructure,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Risk mitigation in supply chain digiti-
zation: System modularity and information technology governance.",others,4.0,[],Technology and Infrastructure,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Furthermore, given the
increasing presence of digital platforms, more research is needed to
understand how speciﬁc metrics aﬀect these ﬁrms, and how such me-
trics may help them to make more informed strategic decisions.",others,1.0,"[('platforms', 'TECHNOLOGY')]",Business Models,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
Digital agility.,others,1.0,"[('Digital', 'ORG')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"For example, in their digital transformation
journey ING has adopted the so-called Spotify-model with self-steering
